"CVEGEO","POB_0a2","POB_3a5","POB_6a11","POB_12a14","POB_15a19","POB_20a59","POB_60ymas","POBM_0a2","POBM_3a5","POBM_6a11","POBM_12a14","POBM_15a19","POBM_20a59","POBM_60ymas","POBF_0a2","POBF_3a5","POBF_6a11","POBF_12a14","POBF_15a19","POBF_20a59","POBF_60ymas"
"1300500050339",0,5,5,0,3,24,0,0,3,3,0,0,13,0,0,0,0,0,0,14,0
"1300500050377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300500050428",4,0,3,0,8,21,6,0,0,3,0,3,12,3,0,0,0,0,5,9,3
"1300500050470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300500050485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050006",83,131,258,117,209,1213,422,41,54,135,65,105,567,206,42,77,123,52,104,646,216
"1300500060076",30,57,79,44,75,431,145,16,27,34,24,38,206,71,14,30,45,20,37,225,74
"1300500060146",24,33,72,31,54,310,100,13,8,41,15,25,145,52,11,25,31,16,29,165,48
"1300500060381",12,17,65,24,42,244,72,3,7,35,14,22,110,34,9,10,30,10,20,134,38
"1300500060396",17,24,42,18,38,228,105,9,12,25,12,20,106,49,8,12,17,6,18,122,56
"130050007",15,18,40,19,19,221,47,8,5,19,10,7,109,32,7,13,21,9,12,112,15
"130050008",0,0,5,3,7,24,15,0,0,3,0,4,10,4,0,0,2,3,3,14,11
"130050009",17,17,39,16,18,136,17,9,9,16,7,6,66,8,8,8,23,9,12,70,9
"130050034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050035",8,9,25,17,19,103,25,2,2,10,9,10,44,10,6,7,15,8,9,59,15
"130050037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130060001",71,91,208,87,146,966,225,37,49,109,43,72,429,91,34,42,99,44,74,537,134
"1300600010069",0,5,11,4,4,41,12,0,3,8,0,0,16,6,0,0,3,0,3,26,6
"1300600010073",39,40,85,37,76,435,115,20,16,38,16,43,199,47,19,24,47,21,33,236,68
"1300600010088",31,46,112,46,66,490,98,17,30,63,25,28,215,38,14,16,49,21,38,275,60
"130060002",2,3,10,6,5,27,9,1,1,4,4,3,11,4,1,2,6,2,2,16,5
"130060003",5,4,16,14,16,125,68,2,1,8,11,8,63,29,3,3,8,3,8,62,39
"130060004",28,35,71,38,37,300,81,12,19,34,18,20,140,42,16,16,37,20,17,160,39
"130060005",5,4,4,3,6,36,9,2,2,2,1,2,18,6,3,2,2,2,4,18,3
"130060006",17,17,23,20,13,139,51,7,6,15,11,8,68,26,10,11,8,9,5,71,25
